日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/09,400 台中市,LH1 菠菜 圓葉 ,161.0,134.7,72.0,133.2, + 77,123.0, -  4,0
113/11/09,104 台北二,LH1 菠菜 圓葉 ,139.3,97.2,73.9,100.9, -  6,2438.0, + 62,0
113/11/09,220 板橋區,LH1 菠菜 圓葉 ,135.0,113.7,78.8,111.0, -  4,772.0, + 14,0
113/11/09,338 桃　農,LH1 菠菜 圓葉 ,137.7,79.3,60.0,87.1, - 26,219.0, + 60,0
113/11/09,338 桃　農,LH2 菠菜 角葉 ,60.0,47.5,35.0,47.5,  -  ,80.0,  -  ,0
113/11/09,420 豐原區,LH1 菠菜 圓葉 ,128.0,94.7,70.0,96.4, - 18,162.0, +125,0
113/11/09,109 台北一,LH2 菠菜 角葉 ,107.8,60.3,18.6,61.4, - 17,1765.0, + 53,0
113/11/09,109 台北一,LH1 菠菜 圓葉 ,151.9,106.3,72.1,108.6, -  1,4284.0, + 37,0
113/11/09,241 三重區,LH1 菠菜 圓葉 ,153.8,132.6,93.1,129.0, + 84,532.0, +181,0
113/11/09,800 高雄市,LH2 菠菜 角葉 ,148.8,120.3,56.1,113.18, -  2,683.0, +  7,0
113/11/09,800 高雄市,LH1 菠菜 圓葉 ,129.1,79.1,65.0,86.26, +  0,1110.0, -  2,0
113/11/09,900 屏東市,LH2 菠菜 角葉 ,97.5,67.5,50.0,67.5, -  8,100.0, +233,0
113/11/09,900 屏東市,LH1 菠菜 圓葉 ,59.7,26.3,15.0,26.3, -  8,680.0, -  8,0
113/11/09,400 台中市,LH2 菠菜 角葉 ,109.0,86.5,64.0,94.0,  -  ,60.0,  -  ,0
113/11/09,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,108.0, + 20,0
113/11/09,220 板橋區,LH2 菠菜 角葉 ,72.0,69.3,40.0,64.0, +  6,80.0, - 66,0
