日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
111/11/08,30.22666666666667,52.1,45.53333333333333,,29.55,28.558333333333334,,18.4,18.1,,33.7,27.433333333333334,,5655.3,20886.6,,29.88,28.64916666666667,,23.04,29.02,19.0,7.4,0.1,0.0,85.4,5.38,22.19333333333333,27.246666666666663,19.040000000000003,3.933333333333336,83.46666666666665,5.346666666666667,0.2,1.118,0.0,0.2,10.02,0,0,0,0,0,1,2,11,-0.5000000000000004,0.8660254037844384,1,1,0,0,0
111/11/09,29.029090909090908,47.31666666666666,44.66666666666666,,29.83333333333333,28.3,,18.95,17.900000000000002,,28.366666666666664,26.766666666666666,,35996.4,14517.958333333334,,30.22666666666667,28.495,,23.44,27.9,20.84,1.6,0.0,0.0,87.6,6.3,22.87333333333333,28.33333333333333,19.5,4.066666666666669,84.80000000000001,5.833333333333333,0.2,0.5,0.0,0.0,7.059999999999999,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,2,0,0,0
111/11/10,27.61,47.1,45.36666666666667,,28.27272727272728,28.475,,17.69090909090909,17.833333333333332,,29.40909090909091,27.53333333333333,,18726.26363636364,18314.125,,29.029090909090908,28.805000000000003,,24.24,30.5,19.880000000000003,7.9,0.0,0.0,84.4,5.58,23.57333333333333,29.14,19.906666666666663,5.633333333333336,85.8,5.753333333333333,0.1,0.4,0.0,0.0,10.619999999999996,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,3,0,0,0
111/11/11,29.365,46.48333333333333,44.49166666666667,,26.7,28.116666666666664,,17.041666666666668,18.15,,29.44166666666666,26.341666666666665,,17893.649999999998,22420.016666666663,,27.61,28.4725,,24.32,29.380000000000003,20.96,8.6,0.2,0.0,86.2,6.04,24.0,29.26,20.56,6.033333333333336,86.06666666666668,5.973333333333334,0.2,0.5,0.0,0.0,8.420000000000002,0,0,0,0,0,1,1,11,-0.5000000000000004,0.8660254037844384,1,4,0,0,1
111/11/12,29.63,48.09166666666667,46.4,,28.65,28.425,,17.816666666666666,18.066666666666663,,30.275,28.33333333333333,,22871.6,27458.108333333334,,29.365,28.71,,24.96,31.14,21.92,7.4,0.1,0.0,85.6,5.18,24.50666666666667,30.34,20.92,7.966666666666669,85.39999999999999,5.6000000000000005,0.3,0.5,0.0,0.0,9.22,0,0,0,0,0,1,2,11,-0.5000000000000004,0.8660254037844384,1,5,1,0,0
111/11/13,28.245454545454542,47.25833333333333,49.02727272727272,,29.28333333333333,29.49090909090909,,18.125,18.827272727272728,,29.133333333333333,30.2,,26665.6,30776.072727272727,,29.63,30.281818181818185,,24.86,30.380000000000003,21.98,6.9,0.1,0.0,87.4,5.26,24.71333333333333,30.3,21.620000000000005,7.633333333333335,86.40000000000002,5.493333333333333,0.4,0.6000000000000001,0.0,0.0,8.400000000000002,0,0,0,0,0,1,3,11,-0.5000000000000004,0.8660254037844384,1,6,1,0,0
111/11/14,27.53,43.10909090909091,52.1,,28.463636363636365,29.55,,17.3,18.4,,25.80909090909091,33.7,,23377.14545454545,5655.3,,28.245454545454542,29.88,,24.3,30.34,21.38,6.1,0.1,0.0,87.0,5.64,24.706666666666667,30.62,21.76,6.800000000000002,86.66666666666667,5.359999999999999,0.3,0.6,0.0,0.0,8.96,0,0,0,0,0,1,4,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,0
111/11/15,28.375833333333333,47.5,47.31666666666666,45.53333333333333,27.35,29.83333333333333,28.558333333333334,16.5,18.95,18.1,31.0,28.366666666666664,27.433333333333334,6739.3,35996.4,20886.6,27.53,30.22666666666667,28.64916666666667,23.78,29.3,20.46,5.7,0.1,0.0,85.4,5.3,24.313333333333333,30.006666666666664,21.27333333333333,6.233333333333335,86.60000000000001,5.4,0.3,0.6,0.0,0.0,8.84,0,0,0,0,0,1,5,11,-0.5000000000000004,0.8660254037844384,1,1,0,0,0
111/11/16,28.469166666666663,44.36666666666667,47.1,44.66666666666666,28.008333333333336,28.27272727272728,28.3,17.508333333333333,17.69090909090909,17.900000000000002,26.85833333333333,29.40909090909091,26.766666666666666,33529.675,18726.26363636364,14517.958333333334,28.375833333333333,29.029090909090908,28.495,23.98,30.2,19.98,6.8,0.2,0.0,83.6,6.640000000000001,24.02,29.946666666666665,20.606666666666666,6.200000000000003,85.33333333333333,5.859999999999999,0.4,0.8,0.0,0.0,10.22,0,0,0,0,0,1,6,11,-0.5000000000000004,0.8660254037844384,1,2,0,0,0
111/11/17,24.735,43.975,46.48333333333333,45.36666666666667,27.916666666666668,26.7,28.475,18.175,17.041666666666668,17.833333333333332,25.8,29.44166666666666,27.53333333333333,25182.45833333333,17893.649999999998,18314.125,28.469166666666663,27.61,28.805000000000003,23.18,28.125,21.075,3.3,0.1,0.0,88.8,5.175,23.646666666666665,29.20833333333333,20.505,5.266666666666669,85.93333333333334,5.705000000000001,0.4,0.9,0.0,0.0,7.050000000000001,0,0,0,0,0,1,7,11,-0.5000000000000004,0.8660254037844384,1,3,0,0,0
