日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/09,830 鳳山區,LA1 甘藍 初秋 ,12.4,6.6,3.9,7.2, - 14,19060.0, +  1,0
107/11/09,109 台北一,LA1 甘藍 初秋 ,14.9,5.0,3.3,6.6, - 12,156283.0, - 12,0
107/11/09,400 台中市,LA1 甘藍 初秋 ,8.3,4.5,2.8,5.1, - 19,19372.0, - 13,0
107/11/09,338 桃　農,LA1 甘藍 初秋 ,18.2,7.7,4.4,9.1, + 63,5220.0, + 18,0
107/11/09,800 高雄市,LA1 甘藍 初秋 ,16.7,10.2,2.7,10.0, - 12,75339.0, +  2,0
107/11/09,648 西螺鎮,LA1 甘藍 初秋 ,10.4,6.5,3.2,6.5, - 31,254284.0, + 11,0
107/11/09,900 屏東市,LA1 甘藍 初秋 ,16.5,8.5,3.3,8.5, + 25,29081.0, - 33,0
107/11/09,514 溪湖鎮,LA1 甘藍 初秋 ,15.9,11.0,9.2,11.0, - 13,41210.0, +  9,0
107/11/09,104 台北二,LA1 甘藍 初秋 ,13.3,5.1,3.2,6.3, -  3,57668.0, - 22,0
107/11/09,950 花蓮市,LA1 甘藍 初秋 ,11.8,7.0,4.1,7.4, - 39,3837.0, + 73,0
107/11/09,512 永靖鄉,LA1 甘藍 初秋 ,13.0,10.0,7.0,10.8, - 11,14846.0, +432,0
107/11/09,540 南投市,LA1 甘藍 初秋 ,17.0,13.0,9.0,12.08, + 14,1104.0, - 40,0
107/11/09,420 豐原區,LA1 甘藍 初秋 ,7.9,6.0,4.8,6.15, - 44,13010.0, - 12,0
107/11/09,930 台東市,LA1 甘藍 初秋 ,30.0,15.0,7.0,14.0, -  7,4359.0, - 12,0
107/11/09,241 三重區,LA1 甘藍 初秋 ,10.0,5.9,3.1,6.1, -  9,13661.0, + 28,0
107/11/09,260 宜蘭市,LA1 甘藍 初秋 ,16.0,8.0,2.0,8.0, - 64,3560.0, -  8,0
107/11/10,900 屏東市,LA1 甘藍 初秋 ,16.1,8.6,4.4,8.6, +  1,33695.0, + 16,0
107/11/10,241 三重區,LA1 甘藍 初秋 ,5.6,4.1,2.8,4.2, - 31,23840.0, + 75,0
107/11/10,260 宜蘭市,LA1 甘藍 初秋 ,20.0,10.0,2.0,10.0, + 25,3560.0,    0,0
107/11/10,220 板橋區,LA1 甘藍 初秋 ,7.4,3.7,2.0,4.1, - 36,33342.0, + 13,0
107/11/10,512 永靖鄉,LA1 甘藍 初秋 ,12.0,7.0,5.0,7.6, - 30,24171.0, + 63,0
107/11/10,800 高雄市,LA1 甘藍 初秋 ,15.9,11.0,3.6,10.6, +  6,66160.0, - 12,0
107/11/10,648 西螺鎮,LA1 甘藍 初秋 ,10.2,6.4,3.2,6.4, -  2,264372.0, +  4,0
107/11/10,109 台北一,LA1 甘藍 初秋 ,16.5,4.7,2.4,6.6,    0,179083.0, + 15,0
107/11/10,400 台中市,LA1 甘藍 初秋 ,7.8,4.6,3.4,5.4, +  6,21166.0, +  9,0
107/11/10,104 台北二,LA1 甘藍 初秋 ,13.5,5.0,3.9,6.5, +  3,53104.0, -  8,0
107/11/10,338 桃　農,LA1 甘藍 初秋 ,8.8,4.3,3.0,4.9, - 46,11682.0, +124,0
107/11/10,540 南投市,LA1 甘藍 初秋 ,16.0,9.0,3.0,8.52, - 29,2701.0, +145,0
107/11/10,930 台東市,LA1 甘藍 初秋 ,25.0,15.0,7.0,10.0, - 29,4475.0, +  3,0
107/11/10,514 溪湖鎮,LA1 甘藍 初秋 ,12.3,7.4,5.0,7.9, - 28,57688.0, + 40,0
107/11/10,420 豐原區,LA1 甘藍 初秋 ,7.9,5.1,3.0,5.25, - 15,14160.0, +  9,0
107/11/10,950 花蓮市,LA1 甘藍 初秋 ,12.0,6.0,4.3,6.9, -  7,2015.0, - 47,0
107/11/11,400 台中市,LA1 甘藍 初秋 ,9.4,5.6,4.3,6.4, + 19,18169.0, - 14,0
107/11/11,800 高雄市,LA1 甘藍 初秋 ,15.0,12.2,6.1,11.6, +  9,57903.0, - 12,0
107/11/11,540 南投市,LA1 甘藍 初秋 ,15.0,7.0,2.0,6.45, - 24,2919.0, +  8,0
107/11/11,420 豐原區,LA1 甘藍 初秋 ,7.7,5.3,4.0,5.5, +  5,17720.0, + 25,0
107/11/11,930 台東市,LA1 甘藍 初秋 ,20.0,15.0,10.0,15.0, + 50,10302.0, +130,0
107/11/11,241 三重區,LA1 甘藍 初秋 ,6.8,5.3,3.1,5.2, + 24,17630.0, - 26,0
107/11/11,109 台北一,LA1 甘藍 初秋 ,22.4,8.2,6.4,10.7, + 62,108007.0, - 40,0
107/11/11,900 屏東市,LA1 甘藍 初秋 ,14.5,8.4,3.7,8.4, -  2,32435.0, -  4,0
107/11/11,514 溪湖鎮,LA1 甘藍 初秋 ,11.2,7.0,5.0,7.4, -  6,44200.0, - 23,0
107/11/11,830 鳳山區,LA1 甘藍 初秋 ,12.7,6.9,3.7,7.4, +  3,21530.0, + 13,0
107/11/11,338 桃　農,LA1 甘藍 初秋 ,9.4,6.5,6.0,6.9, + 41,9020.0, - 23,0
107/11/11,104 台北二,LA1 甘藍 初秋 ,23.5,9.2,5.3,11.3, + 74,36575.0, - 31,0
107/11/11,220 板橋區,LA1 甘藍 初秋 ,9.5,5.3,4.0,5.9, + 44,17660.0, - 47,0
107/11/12,950 花蓮市,LA1 甘藍 初秋 ,10.2,8.2,4.7,7.9, + 14,3449.0, + 71,0
107/11/12,514 溪湖鎮,LA1 甘藍 初秋 ,10.2,6.3,4.0,6.6, - 11,35740.0, - 19,0
107/11/12,512 永靖鄉,LA1 甘藍 初秋 ,10.0,7.0,5.0,7.5, -  1,29955.0, + 24,0
107/11/12,648 西螺鎮,LA1 甘藍 初秋 ,8.3,5.4,3.1,5.4, - 16,278006.0, +  5,0
107/11/13,514 溪湖鎮,LA1 甘藍 初秋 ,10.1,7.0,4.2,7.0, +  6,65310.0, + 83,0
107/11/13,260 宜蘭市,LA1 甘藍 初秋 ,30.0,25.0,12.0,25.0, +150,3850.0, +  8,0
107/11/13,512 永靖鄉,LA1 甘藍 初秋 ,10.0,7.0,4.0,7.2, -  4,28017.0, -  6,0
107/11/13,800 高雄市,LA1 甘藍 初秋 ,15.2,12.3,6.5,11.7, +  1,57248.0, -  1,0
107/11/13,400 台中市,LA1 甘藍 初秋 ,11.3,7.7,5.5,8.6, + 34,10939.0, - 40,0
107/11/13,540 南投市,LA1 甘藍 初秋 ,16.0,7.0,1.5,6.76, +  5,2492.0, - 15,0
107/11/13,420 豐原區,LA1 甘藍 初秋 ,9.6,5.5,4.0,6.0, +  9,14730.0, - 17,0
107/11/13,104 台北二,LA1 甘藍 初秋 ,19.1,9.7,8.1,11.3,    0,57644.0, + 58,0
107/11/13,648 西螺鎮,LA1 甘藍 初秋 ,8.1,5.3,3.1,5.3, -  2,259201.0, -  7,0
107/11/13,830 鳳山區,LA1 甘藍 初秋 ,11.4,7.1,3.9,7.3, -  1,17950.0, - 17,0
107/11/13,220 板橋區,LA1 甘藍 初秋 ,9.0,7.4,5.1,7.3, + 24,18880.0, +  7,0
107/11/13,950 花蓮市,LA1 甘藍 初秋 ,17.6,14.9,10.9,14.6, + 85,1893.0, - 45,0
107/11/13,241 三重區,LA1 甘藍 初秋 ,12.0,6.7,5.9,7.6, + 46,20135.0, + 14,0
107/11/13,338 桃　農,LA1 甘藍 初秋 ,7.4,6.9,6.3,6.9,    0,10490.0, + 16,0
107/11/13,109 台北一,LA1 甘藍 初秋 ,19.6,7.9,6.2,9.9, -  7,150232.0, + 39,0
107/11/13,900 屏東市,LA1 甘藍 初秋 ,14.9,9.4,5.5,9.4, + 12,37828.0, + 17,0
107/11/13,930 台東市,LA1 甘藍 初秋 ,15.0,10.0,5.0,10.0, - 33,6843.0, - 34,0
107/11/14,109 台北一,LA1 甘藍 初秋 ,13.4,5.6,3.3,6.7, - 32,203615.0, + 36,0
107/11/14,950 花蓮市,LA1 甘藍 初秋 ,11.4,8.8,6.4,8.8, - 40,4247.5, +124,0
107/11/14,400 台中市,LA1 甘藍 初秋 ,9.8,7.5,5.6,7.8, -  9,16355.0, + 50,0
107/11/14,830 鳳山區,LA1 甘藍 初秋 ,10.9,6.6,3.7,6.9, -  5,18400.0, +  3,0
107/11/14,512 永靖鄉,LA1 甘藍 初秋 ,9.0,6.0,5.0,6.4, - 11,9837.0, - 65,0
107/11/14,800 高雄市,LA1 甘藍 初秋 ,15.0,11.2,5.7,10.8, -  8,59868.0, +  5,0
