日期,價格(元/公斤),價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7,氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmin_7d,降水量(mm)_rollsum_7d,日照時數(hour)_rollmean_7d,相對溼度(%)_rollmean_7d,最大陣風(m/s)_rollmax_7d,is_cold_wave,is_strong_cold,is_frost_risk,is_heavy_rain,is_strong_wind,consecutive_rainy_days,month_sin,month_cos,is_winter
108/11/08,21.12142857142857,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/09,24.092857142857145,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/10,25.745,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/11,24.6,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/12,29.025384615384613,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/13,30.071538461538463,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/14,29.6,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/15,29.47,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/16,31.273333333333333,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/17,29.71,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/18,27.8,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/19,26.98857142857143,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/20,23.63533333333333,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/21,24.555333333333333,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/22,24.724666666666668,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/23,26.70230769230769,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/24,28.348000000000003,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/25,23.9,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/26,27.182666666666663,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/27,25.92933333333333,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/28,24.99714285714285,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/29,24.00642857142857,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/30,26.22307692307692,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/12/01,24.629166666666663,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/02,26.1,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/03,26.37857142857143,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/04,29.048571428571428,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/05,29.87642857142857,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/06,31.91846153846154,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/07,34.459230769230764,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/08,36.59090909090909,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/09,34.25,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/10,37.055,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
