日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
113/01/12,216.52666666666667,277.8333333333333,214.4,151.61666666666667,1692.25,126.21666666666664,203.09833333333333,189.4,222.3166666666667,201.4272222222222,192.79670068027212
113/01/13,212.53333333333333,271.40000000000003,213.58333333333331,145.78333333333333,2362.4166666666665,125.6166666666667,216.52666666666667,175.32857142857142,229.63333333333333,205.99722222222223,196.6719387755102
113/01/14,208.48,272.52,209.26,137.0,2225.5,135.51999999999998,212.53333333333333,188.61666666666667,231.25,210.71944444444443,201.98690476190475
113/01/16,200.13333333333333,269.46666666666664,200.55,134.21666666666667,2292.5,135.24999999999997,208.48,191.95,211.6833333333333,212.51333333333332,204.8245238095238
113/01/17,205.96666666666667,270.5333333333333,206.8166666666667,138.58333333333334,1969.9166666666667,131.94999999999996,200.13333333333333,202.8166666666667,228.94,207.04888888888888,205.9935714285714
113/01/18,211.71666666666667,271.6333333333333,210.83333333333331,163.45000000000002,1505.25,108.18333333333332,205.96666666666667,198.36666666666667,287.5,204.86,206.44357142857143
113/01/19,207.55,277.51666666666665,206.75,144.08333333333334,1878.8333333333333,133.4333333333333,211.71666666666667,203.09833333333333,198.2,205.93888888888887,208.35071428571428
113/01/20,220.38333333333333,284.8333333333333,220.91666666666663,155.41666666666666,2182.1666666666665,129.41666666666666,207.55,216.52666666666667,189.4,208.41111111111113,208.98666666666665
113/01/21,204.41666666666663,270.26666666666665,202.71666666666667,140.0,1765.4166666666667,130.26666666666665,220.38333333333333,212.53333333333333,175.32857142857142,213.21666666666667,209.53761904761905
113/01/23,206.85,283.5833333333333,203.6833333333333,138.36666666666667,2958.333333333333,145.21666666666664,204.41666666666663,208.48,188.61666666666667,210.7833333333333,208.37809523809523
